INFO01-30-2017 10:44:14 || Logging.appendSystemInfo() : OS   information: Mac OS X (x86_64 version: 10.12.2)
INFO01-30-2017 10:44:14 || Logging.appendSystemInfo() : Java information: 1.8.0_112
INFO01-30-2017 10:44:14 || Controller.<init>() : server started - encoding test: Hallööchen
INFO01-30-2017 10:48:12 || ServerController.sendMessage() : {"Hallo":{"Version":"Nicer Server (Infrarote Hacks)","Protokoll":"1.0"}}
INFO01-30-2017 10:48:12 || ServerController.sendMessage() : OUT: {"Hallo":{"Version":"Nicer Server (Infrarote Hacks)","Protokoll":"1.0"}}
INFO01-30-2017 10:48:12 || ServerController.run() : IN: {"Hallo":{"Version":"JavaFXClient 1.0 (InfraroteHacks)"}}
INFO01-30-2017 10:48:12 || ServerController.handleInputFromClient() : Hallo
INFO01-30-2017 10:48:12 || ServerController.handleHello() : .
INFO01-30-2017 10:48:12 || Controller.addPlayer() : add player: 1  null
INFO01-30-2017 10:48:12 || Controller.changeStateOfPlayer() : 1 Spiel starten
INFO01-30-2017 10:48:12 || Controller.checkIfEnoughPlayersAreReady() : .
INFO01-30-2017 10:48:12 || ServerController.sendMessage() : {"Willkommen":{"id":1}}
INFO01-30-2017 10:48:12 || ServerController.sendMessage() : OUT: {"Willkommen":{"id":1}}
INFO01-30-2017 10:48:12 || ServerController.sendMessage() : {"Statusupdate":{"Spieler":{"id":1,"Name":null,"Farbe":null,"Status":"Spiel starten","Siegpunkte":0,"Rohstoffe":{}}}}
INFO01-30-2017 10:48:12 || ServerController.sendMessage() : OUT: {"Statusupdate":{"Spieler":{"id":1,"Name":null,"Farbe":null,"Status":"Spiel starten","Siegpunkte":0,"Rohstoffe":{}}}}
INFO01-30-2017 10:48:19 || ServerController.run() : IN: {"Spieler":{"Name":"chris1","Farbe":"Rot"}}
INFO01-30-2017 10:48:19 || ServerController.handleInputFromClient() : Spieler
INFO01-30-2017 10:48:19 || ServerController.handleNewPlayer() : {"Spieler":{"Name":"chris1","Farbe":"Rot"}}
INFO01-30-2017 10:48:19 || ServerController.handleNewPlayer() : currentplayer name: chris1: Farbe: Rot - ID: 1
INFO01-30-2017 10:48:19 || ServerController.run() : IN: {"Spiel starten":{}}
INFO01-30-2017 10:48:19 || ServerController.handleInputFromClient() : Spiel starten
INFO01-30-2017 10:48:19 || ServerController.handleReadyPlayer() : .
